[2026-09-15T12:40:22+00:00] +     0.0s evaluation_start: message=Executing candidate in the fixed simulator cases=4
[2026-09-15T12:40:27+00:00] +     2.9s environment_change: message=case_001: environment_change case_id=case_001 evaluations=50000 completed_environment=9 environment_offline_error=0.39314 environment_initial_error=36.736 environment_final_error=0.043527 first_evaluation=45001 environment_evaluations=5000 offline_error=3.4928 swarm_count=10
[2026-09-15T12:40:27+00:00] +     2.9s run_completed: message=case_001: run_completed case_id=case_001 evaluations=50000 offline_error=3.4928 response_count=70 swarm_count=10
[2026-09-15T12:40:27+00:00] +     3.0s case_complete: message=case_001 complete case_id=case_001 offline_error=3.4928
[2026-09-15T12:40:27+00:00] +     3.0s case_start: message=Evaluating case_002 case_id=case_002 index=3 total=4 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 3.0, 'correlation': 0.0, 'budget': 50000, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'environment_seed': 33, 'optimizer_seed': 1033}
[2026-09-15T12:40:27+00:00] +     3.0s run_started: message=case_002: run_started case_id=case_002 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 3.0, 'correlation': 0.0, 'budget': 50000, 'environment_seed': 33, 'optimizer_seed': 1033, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'progress_interval': 5000, 'bounds': [0.0, 100.0], 'height_severity': 7.0, 'width_severity': 1.0, 'chi': 0.729843788, 'c': 2.05} baseline=book_mpso_5_plus_0 budget=50000
[2026-09-15T12:40:27+00:00] +     3.1s environment_change: message=case_002: environment_change case_id=case_002 evaluations=5000 completed_environment=0 environment_offline_error=2.0691 environment_initial_error=212.84 environment_final_error=5.4394e-05 first_evaluation=1 environment_evaluations=5000 offline_error=2.0691 swarm_count=3
[2026-09-15T12:40:27+00:00] +     3.3s environment_change: message=case_002: environment_change case_id=case_002 evaluations=10000 completed_environment=1 environment_offline_error=0.6436 environment_initial_error=3.8514 environment_final_error=0.00023842 first_evaluation=5001 environment_evaluations=5000 offline_error=1.3564 swarm_count=4
[2026-09-15T12:40:28+00:00] +     3.4s environment_change: message=case_002: environment_change case_id=case_002 evaluations=15000 completed_environment=2 environment_offline_error=1.273 environment_initial_error=119.36 environment_final_error=0.00039637 first_evaluation=10001 environment_evaluations=5000 offline_error=1.3286 swarm_count=6
[2026-09-15T12:40:28+00:00] +     3.6s environment_change: message=case_002: environment_change case_id=case_002 evaluations=20000 completed_environment=3 environment_offline_error=2.0554 environment_initial_error=5.212 environment_final_error=0.0861 first_evaluation=15001 environment_evaluations=5000 offline_error=1.5103 swarm_count=6
[2026-09-15T12:40:28+00:00] +     3.7s environment_change: message=case_002: environment_change case_id=case_002 evaluations=25000 completed_environment=4 environment_offline_error=1.6419 environment_initial_error=31.632 environment_final_error=0.0096547 first_evaluation=20001 environment_evaluations=5000 offline_error=1.5366 swarm_count=6
[2026-09-15T12:40:28+00:00] +     3.9s environment_change: message=case_002: environment_change case_id=case_002 evaluations=30000 completed_environment=5 environment_offline_error=0.80772 environment_initial_error=47.515 environment_final_error=0.00017976 first_evaluation=25001 environment_evaluations=5000 offline_error=1.4151 swarm_count=6
[2026-09-15T12:40:28+00:00] +     4.1s environment_change: message=case_002: environment_change case_id=case_002 evaluations=35000 completed_environment=6 environment_offline_error=1.3787 environment_initial_error=87.01 environment_final_error=0.013298 first_evaluation=30001 environment_evaluations=5000 offline_error=1.4099 swarm_count=7
[2026-09-15T12:40:28+00:00] +     4.2s environment_change: message=case_002: environment_change case_id=case_002 evaluations=40000 completed_environment=7 environment_offline_error=1.053 environment_initial_error=10.606 environment_final_error=0.002126 first_evaluation=35001 environment_evaluations=5000 offline_error=1.3653 swarm_count=7
[2026-09-15T12:40:29+00:00] +     4.4s environment_change: message=case_002: environment_change case_id=case_002 evaluations=45000 completed_environment=8 environment_offline_error=1.1275 environment_initial_error=21.476 environment_final_error=0.0022866 first_evaluation=40001 environment_evaluations=5000 offline_error=1.3389 swarm_count=7
[2026-09-15T12:40:29+00:00] +     4.5s environment_change: message=case_002: environment_change case_id=case_002 evaluations=50000 completed_environment=9 environment_offline_error=0.83029 environment_initial_error=185.07 environment_final_error=0.0011215 first_evaluation=45001 environment_evaluations=5000 offline_error=1.288 swarm_count=7
[2026-09-15T12:40:29+00:00] +     4.5s run_completed: message=case_002: run_completed case_id=case_002 evaluations=50000 offline_error=1.288 response_count=47 swarm_count=7
[2026-09-15T12:40:29+00:00] +     4.6s case_complete: message=case_002 complete case_id=case_002 offline_error=1.288
[2026-09-15T12:40:29+00:00] +     4.6s case_start: message=Evaluating case_003 case_id=case_003 index=4 total=4 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 3.0, 'correlation': 0.0, 'budget': 50000, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'environment_seed': 44, 'optimizer_seed': 1044}
[2026-09-15T12:40:29+00:00] +     4.6s run_started: message=case_003: run_started case_id=case_003 config={'dimension': 5, 'npeaks': 10, 'period': 5000, 'move_severity': 3.0, 'correlation': 0.0, 'budget': 50000, 'environment_seed': 44, 'optimizer_seed': 1044, 'particles_per_swarm': 5, 'nexcess': 1, 'trace_interval': 500, 'snapshot_interval': 0, 'progress_interval': 5000, 'bounds': [0.0, 100.0], 'height_severity': 7.0, 'width_severity': 1.0, 'chi': 0.729843788, 'c': 2.05} baseline=book_mpso_5_plus_0 budget=50000
[2026-09-15T12:40:29+00:00] +     4.7s environment_change: message=case_003: environment_change case_id=case_003 evaluations=5000 completed_environment=0 environment_offline_error=1.1182 environment_initial_error=103.72 environment_final_error=4.4974e-06 first_evaluation=1 environment_evaluations=5000 offline_error=1.1182 swarm_count=3
[2026-09-15T12:40:29+00:00] +     4.8s environment_change: message=case_003: environment_change case_id=case_003 evaluations=10000 completed_environment=1 environment_offline_error=1.5618 environment_initial_error=3.2902 environment_final_error=0.032953 first_evaluation=5001 environment_evaluations=5000 offline_error=1.34 swarm_count=5
[2026-09-15T12:40:29+00:00] +     5.0s environment_change: message=case_003: environment_change case_id=case_003 evaluations=15000 completed_environment=2 environment_offline_error=0.39322 environment_initial_error=127.39 environment_final_error=4.3938e-05 first_evaluation=10001 environment_evaluations=5000 offline_error=1.0244 swarm_count=4
[2026-09-15T12:40:29+00:00] +     5.1s environment_change: message=case_003: environment_change case_id=case_003 evaluations=20000 completed_environment=3 environment_offline_error=0.4169 environment_initial_error=13.015 environment_final_error=0.00067495 first_evaluation=15001 environment_evaluations=5000 offline_error=0.87252 swarm_count=5
[2026-09-15T12:40:29+00:00] +     5.2s environment_change: message=case_003: environment_change case_id=case_003 evaluations=25000 completed_environment=4 environment_offline_error=1.1429 environment_initial_error=20.291 environment_final_error=0.00013506 first_evaluation=20001 environment_evaluations=5000 offline_error=0.92659 swarm_count=5
[2026-09-15T12:40:30+00:00] +     5.3s environment_change: message=case_003: environment_change case_id=case_003 evaluations=30000 completed_environment=5 environment_offline_error=3.0847 environment_initial_error=39.161 environment_final_error=1.9162 first_evaluation=25001 environment_evaluations=5000 offline_error=1.2863 swarm_count=6
[2026-09-15T12:40:30+00:00] +     5.5s environment_change: message=case_003: environment_change case_id=case_003 evaluations=35000 completed_environment=6 environment_offline_error=6.7178 environment_initial_error=50.178 environment_final_error=4.9735 first_evaluation=30001 environment_evaluations=5000 offline_error=2.0622 swarm_count=7
[2026-09-15T12:40:30+00:00] +     5.6s environment_change: message=case_003: environment_change case_id=case_003 evaluations=40000 completed_environment=7 environment_offline_error=13.42 environment_initial_error=23.709 environment_final_error=4.4921 first_evaluation=35001 environment_evaluations=5000 offline_error=3.4819 swarm_count=8
[2026-09-15T12:40:30+00:00] +     5.7s environment_change: message=case_003: environment_change case_id=case_003 evaluations=45000 completed_environment=8 environment_offline_error=8.786 environment_initial_error=172.03 environment_final_error=7.8033 first_evaluation=40001 environment_evaluations=5000 offline_error=4.0712 swarm_count=8
[2026-09-15T12:40:30+00:00] +     5.8s environment_change: message=case_003: environment_change case_id=case_003 evaluations=50000 completed_environment=9 environment_offline_error=1.8725 environment_initial_error=33.697 environment_final_error=0.18991 first_evaluation=45001 environment_evaluations=5000 offline_error=3.8514 swarm_count=8
[2026-09-15T12:40:30+00:00] +     5.8s run_completed: message=case_003: run_completed case_id=case_003 evaluations=50000 offline_error=3.8514 response_count=48 swarm_count=8
[2026-09-15T12:40:30+00:00] +     5.9s case_complete: message=case_003 complete case_id=case_003 offline_error=3.8514
[2026-09-15T12:40:30+00:00] +     5.9s evaluation_complete: message=Candidate evaluation complete mean_offline_error=2.7626 worst_case_offline_error=3.8514 case_error_std=1.1564 cases_completed=4
